video_id,video_title,channel_title,channel_id,video_publish_date,view_count,comment_count,video_description,tags,category_id,reason
Sqa8Zo2XWc4,Artificial Intelligence: Last Week Tonight with John Oliver (HBO),LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,27.02.2023 08:30,10262955,11186,"Artificial intelligence is increasingly becoming part of our lives, from self-driving cars to ChatGPT. John Oliver discusses how AI works, where it might be heading next, and, of course, why it hates the bus.

Connect with Last Week Tonight online... 

Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/lastweektonight 

Find Last Week Tonight on Facebook like your mom would: www.facebook.com/lastweektonight 

Follow us on Twitter for news about jokes and jokes about news: www.twitter.com/lastweektonight 

Visit our official site for all that other stuff at once: www.hbo.com/lastweektonight",[],24,
bk-nQ7HF6k4,EMERGENCY EPISODE: Ex-Google Officer Finally Speaks Out On The Dangers Of AI! - Mo Gawdat | E252,The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,01.06.2023 09:00,9633767,34732,"If You Enjoyed This Episode You Must Watch This One With Mustafa Suleyman Google AI Exec: https://youtu.be/CTxnLsYHWuI

0:00 Intro 
02:54 Why is this podcast important?
04:09 What's your background & your first experience with AI?
08:43 AI is alive and has more emotions than you
11:45 What is artificial intelligence?
20:53 No one's best interest is the same, doesn't this make AI dangerous?
24:47 How smart really is AI?
27:07 AI being creative
29:07 AI replacing Drake
31:53 The people that should be leading this
34:09 What will happen to everyone's jobs?
46:06 Synthesising voices
47:35 AI sex robots
50:22 Will AI fix loneliness?
52:44 AI actually isn't the threat to humanity
56:25 We're in an Oppenheimer moment
01:03:18 We can just turn it off...right?
01:04:23 The security risks
01:07:58 The possible outcomes of AI
01:18:25 Humans are selfish and that's our problem
01:23:25 This is beyond an emergency
01:25:20 What should we be doing to solve this?
01:36:36 What it means bringing children into this world
01:42:11 Your overall prediction
01:50:34 The last guest's question

You can purchase Mo’s book, ‘Scary Smart: The Future of Artificial Intelligence and How You Can Save Our World’, here: https://amzn.to/3SyKSeO

Follow Mo:
Instagram: https://bit.ly/3qmYSMY

My new book! 'The 33 Laws Of Business & Life' per order link: https://smarturl.it/DOACbook

Join this channel to get access to perks:
https://bit.ly/3Dpmgx5

Follow: 
Instagram: http://bit.ly/3nIkGAZ
Twitter: http://bit.ly/3ztHuHm
Linkedin: http://bit.ly/3ZFGUku
Telegram: http://bit.ly/3nJYxST

Follow me: 
Instagram: http://bit.ly/3nIkGAZ
Twitter: http://bit.ly/3ztHuHm
Linkedin: https://bit.ly/41Fl95Q
Telegram: http://bit.ly/3nJYxST

Sponsors: 
Huel: https://g2ul0.app.link/G4RjcdKNKsb 
Bluejeans: https://g2ul0.app.link/NCgpGjVNKsb
Whoop: http://bit.ly/3MbapaY","['The Diary Of A CEO', 'steven bartlett steve bartlett', 'podcast', 'the diary of a CEO podcast', 'life lessons', 'CEO']",22,
uiUPD-z9DTg,The Next Global Superpower Isn't Who You Think | Ian Bremmer | TED,TED,UCAuUUnT6oDeKwE6v1NGQxug,14.06.2023 18:20,9209035,13448,"Who runs the world? Political scientist Ian Bremmer argues it's not as simple as it used to be. With some eye-opening questions about the nature of leadership, he asks us to consider the impact of the evolving global order and our choices as participants in the future of democracy.

If you love watching TED Talks like this one, become a TED Member to support our mission of spreading ideas: https://ted.com/membership

Follow TED! 
Twitter: https://twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/ianbremmer23

https://youtu.be/uiUPD-z9DTg

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #politics","['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'global issues', 'politics', 'technology', 'economics', 'government', 'international relations', 'Ian Bremmer']",25,
jPhJbKBuNnA,I tried using AI. It scared me.,Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,13.02.2023 17:00,7379887,14322,"I just wanted to fix my email. ■ AD: 👨‍💻 NordVPN's best deal is here: https://nordvpn.com/tomscott - with a 30-day money-back guarantee. ■ Code and full conversation: https://www.tomscott.com/fix-gmail-labels-threads/

Script assistant: Laura Conlon
No AI assistance was used, except where noted.

ALTERNATE TITLES:
Crypto and the metaverse aren't the future. AI is.
I just wanted to fix my email.
I tried ChatGPT and had a minor existential crisis
Everything is about to change
ChatGPT is Napster, 24 years later.
ChatGPT is 2023's Napster.

CHAPTERS
0:00 Intro
0:07 I just wanted to fix my email
2:39 Gmail's label system sucks
5:35 Wait, I can fix this with code
7:36 It can't be that good, right?
11:31 Everything is going to change

🟥 MORE FROM TOM: https://www.tomscott.com/
(you can find contact details and social links there too)

📰 WEEKLY NEWSLETTER with good stuff from the rest of the internet: https://www.tomscott.com/newsletter/
❓ LATERAL, free weekly podcast: https://lateralcast.com/ https://youtube.com/lateralcast/
➕ TOM SCOTT PLUS: https://youtube.com/tomscottplus
👥 THE TECHNICAL DIFFICULTIES: https://youtube.com/techdif

(Yes, that was a ""Weird Al"" Yankovic reference.)",[],27,
zaB_20bkoA4,Elon Musk's BRUTALLY Honest Interview With Tucker Carlson (2023),Visionary,UC_8gQrYCIf9aG_9N4_T5fzg,06.07.2023 07:51,6180406,11401,"Elon Musk's BRUTALLY Honest Interview With Tucker Carlson | In this interview, Tucker Carlson engages in a thought-provoking discussion with Elon Musk. Join them as they delve into a range of topics, shedding light on Tesla's achievements, as well as Musk's controversial entrepreneurial choices. 

Are you an ELON MUSK Fan? START HERE! 🚀

- Elon Musk Best SAVAGE Moments in 8 Minutes Straight!: https://youtu.be/JVO5Kibf7dw
- Elon Musk's Being a SAVAGE For 9 Minutes Straight!: https://youtu.be/XGdItXdupGY
- Elon Musk's TERRIFYING Warning about Google AI: https://youtu.be/44NBrihVqAM
- Elon Musk: ""this will AFFECT everyone in 3-4 months."": https://youtu.be/_bfqviAqtvo

For More Videos Like This Subscribe Now! 👉🏻 bit.ly/3D69T88

Musk brings forth his concerns about artificial intelligence (AI) and emphasizes the urgent need for regulations in this enlightening episode of Tucker Carlson Today. According to Musk, the potential dangers posed by AI surpass those of mismanaged aircraft or automobile production, as it has the capacity for ""civilizational destruction."" Delving further, Musk shares his involvement in OpenAI and expresses reservations about the organization's current trajectory. Additionally, Musk emphasizes the importance of prioritizing a pro-human society over profit in the relentless pursuit of technological advancement.

Prepare to gain valuable insights as Elon Musk covers an array of engaging subjects during his interview with Tucker Carlson. He shares his perspective on the impact of the pandemic on the commercial real estate market, addresses concerns surrounding inflation, and highlights the significance of investing in companies based on the quality of their products, services, and sensible management. Furthermore, Musk sheds light on the media's influence on public opinion. He raises awareness about how a select few editors-in-chief can subtly manipulate the public narrative, resulting in a less truthful and accurate portrayal of events. Musk also reveals his plans to transform Twitter into the most trusted platform on the internet, providing people with exposure to diverse political opinions to ensure access to unfiltered truth prior to elections.

Don't miss out on this captivating conversation between Tucker Carlson and Elon Musk, where they tackle pressing issues surrounding Tesla's success, Musk's unconventional business decisions, and much more. Tune in now!

Tesla Videos: 🚘 : https://bit.ly/2ZaTXBs
Elon Musk Videos:🦾: https://bit.ly/3x56bb6

For the best videos be sure to subscribe and turn on the post notifications so you don't miss any videos and once you've subscribed, comment something nice for a shoutout.

Popularly referred to as the Real-life Tony Stark, Elon Musk is the founder and CEO of SpaceX, an American aerospace manufacturer and space transportation services. He is also the co-founder, CEO, and product architect at Tesla Motors, the founder of The Boring Company and Co-founder of Neuralink and initial chairman of OpenAI.

This video is all about Elon Musk, Musk, Elon, Tesla, SpaceX, The Boring Company, Business, Jeff Bezos, Space, Cars, Bill Gates, Mark Zuckerberg, millionaires, billionaires, motivational, motivation, Elon musk motivation, Elon musk motivational, elon musk,elon musk motivation,elon musk motivational speech,elon musk inspiring speech,elon musk best speech,elon musk emotional speech,elon musk inspirational video,elon musk emotional,elon musk mindset,elon musk tears up speech,elon musk tears up,elon musk holding back tears,business core, elon musk zone, motivation core, DBbusiness and more topics!","['Smart Sense', 'Elon Musk', 'elon musk carlson tucker', 'elon musk tucker carlson interview', 'elon musk interview', 'elon musk news', 'elon musk interview tucker', 'elon musk tucker carlson', 'tucker carlson elon musk', 'elon interview', 'elon musk twitter', 'elon musk twitter deal', 'elon musk tucker', 'twitter elon musk interview', 'elon musk takes over twitter', 'elon musk buys twitter', 'elon musk ai warning', 'elon musk ai interview', 'tucker carlson tonight', 'elon musk on ai', 'elon musk vs mark zuckerberg']",24,
aZ5EsdnpLMI,Artificial Intelligence | 60 Minutes Full Episodes,60 Minutes,UCsN32BtMd0IoByjJRNF12cw,30.12.2023 14:00,5792902,6652,"From January 2019, Scott Pelley's interview with ""the oracle of AI,"" Kai-Fu Lee. From this past April, Pelley's report on Google's AI efforts. And from this past March, Lesley Stahl's story on chatbots like ChatGPT and a world of unknowns.

#news #artificialintelligence #technology 

""60 Minutes"" is the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10.

Subscribe to the “60 Minutes” YouTube channel: http://bit.ly/1S7CLRu
Watch full episodes: http://cbsn.ws/1Qkjo1F
Get more “60 Minutes” from “60 Minutes: Overtime”: http://cbsn.ws/1KG3sdr
Follow “60 Minutes” on Instagram: http://bit.ly/23Xv8Ry
Like “60 Minutes” on Facebook: http://on.fb.me/1Xb1Dao
Follow “60 Minutes” on Twitter: http://bit.ly/1KxUsqX
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com

0:00 Introduction
0:11 The Oracle of AI
12:56 The Revolution (Part 1)
27:33 The Revolution (Part 2)
40:00 Who is minding the chatbots?","['60 minutes', 'cbs news', 'artificial intelligence', 'ai', 'google', 'chatgpt', 'chatbot', 'openai', 'microsoft', 'meta', 'facebook']",25,
DCu9xawHJaw,Meet The 6'10 Ai Robot NBA Players Fear..,REBOUND,UCVepIJedg6BMQeSgjPY4e6A,20.06.2023 21:58,5232601,1345,"If you’re ever injured in an accident, you can check out Morgan & Morgan. Their fee is free unless they win. For more information go to https://www.wordontheblock.biz/r/2377/86/?s=FOR_THE_PEOPLE

Meet The Ai Robot NBA Players Fear..

Rebound Social Media:
Twitter: https://twitter.com/ReboundCentral
Instagram: https://www.instagram.com/reboundofficial_/

Instrumentals By:
LCS: https://www.youtube.com/channel/UCc-LuGddmv1ETE5X-UiN6iQ
Kevin MacLeod: https://incompetech.com/music/","['nba', 'rebound central', 'rebound']",17,
2yd18z6iSyk,"Joe Rogan: ""I Wasn't Afraid of AI Until I Learned This""",JRE Daily Clips,UCavUx5z-IziOIxbsK_Ah7ng,19.12.2023 23:46,5190605,8147,"FREE Alpha Brain Trial ► https://onnit.sjv.io/LPvLgM 
CODE: jredaily for 10% off other purchases ► https://onnit.sjv.io/jWPr2e
Sub for daily JRE clips! ► https://www.youtube.com/@JREDailyClips
Onnit Affiliated.

Tristan Harris and Aza Raskin are the co-founders of the Center for Humane Technology and the hosts of its podcast, ""Your Undivided Attention."" Watch the Center's new film ""The A.I. Dilemma"" on YouTube.

Clip taken from JRE #2076 w/ Aza Raskin & Tristan Harris

Host: Joe Rogan
Guests: Aza Raskin & Tristan Harris
Producer: Jamie Vernon

#jre #joerogan #ai #chatgpt","['JRE', 'UFC', 'Joe Rogan', 'Joe Rogan Experience', 'JRE Clips', 'Joe Rogan Podcast', 'comedy videos', 'funny clips video', 'elon musk', 'interview', 'theo von', 'theovonclips', 'funnymoments', 'funnyshorts', 'funnyvideos', 'funnyvideo', 'comedyshorts', 'comedyvideo', 'podcast', 'lol', 'haha', 'lmao', 'ribs and dick', 'roejogan', '😂', 'theovon', 'talk show', 'stand up', 'stand up comedy', 'comedians', 'elon', 'mark zuckerberg', 'jeff bezos', 'aliens', 'alien', 'space', 'tesla', 'meta', 'amazon', 'spacex']",23,
880TBXMuzmk,The AI revolution: Google's developers on the future of artificial intelligence | 60 Minutes,60 Minutes,UCsN32BtMd0IoByjJRNF12cw,17.04.2023 05:13,4032633,6488,"Competitive pressure among tech giants is propelling society into the future of artificial intelligence, ready or not. Scott Pelley dives into the world of AI with Google CEO Sundar Pichai.

#news #google #artificialintelligence 

""60 Minutes"" is the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10.

Subscribe to the “60 Minutes” YouTube channel: http://bit.ly/1S7CLRu
Watch full episodes: http://cbsn.ws/1Qkjo1F
Get more “60 Minutes” from “60 Minutes: Overtime”: http://cbsn.ws/1KG3sdr
Follow “60 Minutes” on Instagram: http://bit.ly/23Xv8Ry
Like “60 Minutes” on Facebook: http://on.fb.me/1Xb1Dao
Follow “60 Minutes” on Twitter: http://bit.ly/1KxUsqX
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com","['60 Minutes', 'CBS News', 'AI', 'artificial intelligence', 'Google', 'Sundar Pichai']",25,
kh5dN72GTQ8,What ChatGPT Could Mean for the Future of Artificial Intelligence,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ,04.01.2023 19:48,4013570,10941,"Taken from JRE #1919 w/Bret Weinstein:
https://open.spotify.com/episode/1fCp0jGnwvxHJVPiXTfOzA?si=eb9360af79b142d7","['Joe Rogan Experience', 'JRE', 'Joe', 'Rogan', 'podcast', 'MMA', 'comedy', 'stand', 'up', 'funny', 'Freak', 'Party']",22,
