video_id,video_title,channel_title,channel_id,video_publish_date,view_count,comment_count,video_description,tags,category_id,reason
Ml9v3wHLuWI,Will Smith Tries Online Dating,Will Smith,UCKuHFYu3smtrl2AwwMOXOlg,2018-03-29T18:10:37Z,38488641,35818,"Things get awkward when Will meets Sophia the Robot for an intimate conversation in the Cayman Islands. SUBSCRIBE: https://goo.gl/BUjQW8

Thanks to Hanson Robotics for providing Sophia! For more information, visit http://hansonrobotics.com.

WATCH MORE:
Most Recent Videos: https://goo.gl/pqjbrR
Best Of Will Smith: https://goo.gl/P3jjA3

FOLLOW WILL:
Instagram: https://goo.gl/8mBb1K
Facebook: https://goo.gl/yzifAY

Westbrook Studios | http://westbrookentertainment.com

Executive Producers: Will Smith, Miguel Melendez
Producers: Aaron Ferguson, Lukas Kaiser, Brad Simpson, Sadao Turner
Director: Luke Kelly-Clyne
Editors: Andrew Peyton, Brian Vannucci, Steven Yee
Writers: Turner Barrowman, Clayton English, JF Harris, Lukas Kaiser
Director of Photography: Ben Rutkowski
Camera Operator: Mike Rossetti
Sound Recordist: Peter Beer
1st AC: Tremayne Ebanks
PA: Nakai Coni","['comedy', 'entertainment', 'will smith', 'will', 'smith', 'smiths', 'willsmith', 'will smith youtube', 'youtube will smith', 'will smith channel', 'channel will smith', 'will youtube', 'youtube will', 'smith youtube', 'youtube smith', 'will smith vlogs', 'vlogs will smith', 'vlogs', 'vlog', 'will smith youtube channel', 'sophia the robot', 'robot', 'robots', 'irobot', 'artificial intelligence', 'ai', 'cyberdyne', 'skynet']",24,topic is will smith not ai
YN6hnjXWQUo,ROBOT SAVES BABY!! COZMO Playtime! Artificial Intelligence Super Computer FUNnel VisION Fun,FV FAMILY,UC4-eGDvOe41__-RiE0E9L6A,2018-09-29T15:59:54Z,14773274,1707,"SUBSCRIBE ➥ https://bit.ly/2w4HCfu & become a FUNnel Cake then Press the 🔔 & get some Merch:  https://shopfunnelvision.com
========================
📺 Have a Funnel Day & Thanks for watching! https://www.youtube.com/c/FVFAMILY
📺 Our Gaming Channel - FGTEEV: httpss://www.youtube.com/FGTeeV
📺 Our Toy Channel - DOH MUCH FUN w/ Chase's Corner: httpss://www.youtube.com/DOHMUCHFUN2
📺 Our Skylanders Channel - Skylander Boy and Girl w/ Lightcore Chase: httpss://www.youtube.com/TheSkylanderBoyandGirl","['fv family', 'chases corner', 'fgteev', 'doh much fun', 'funny videos', 'funnel vision']",23,childrens toy content/ads
#NAME?,"You can soon buy a sex robot equipped with artificial intelligence for about $20,000",ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,2018-04-25T07:24:22Z,10471709,13392,"In her National Geographic series, ""America Inside Out,"" Katie Couric learned about the world's first sex robot, Harmony.","['America', 'Inside', 'Out', 'National', 'Geographic', 'series', 'Katie', 'Couric', 'sex', 'robot', 'Harmony', 'artificial', 'intelligence', 'doll', 'technology', 'abc', 'abcnews']",25,
1y3XdwTa1cA,Two robots debate the future of humanity,RISE Conf,UCFuF18MyTt4UdhmwDC4d2lg,2018-04-17T13:15:56Z,7822303,30887,"Hanson Robotics Limited's Ben Goertzel, Sophia and Han at RISE 2017.

Now for something that’s never been done onstage before. While they may not be human, our next guests are ready to discuss the future of humanity, and how they see their types flourish over the coming years.

Want to be at #RISEConf next year? Get your ticket now: http://news.riseconf.com/YT_tickets","['Hanson Robotics Limited', 'Hanson Robotics', 'sophia the robot debate', 'sophia the robot 2018', 'sophia the robot emotions', 'sophia the robot singing', 'sophia the robot 2017', 'sophia the robot', 'sophia the robot ai', 'sophia the robot and creator', 'sophia the robot creator', 'sophia the robot citizen', 'sophia the robot inventor', 'sophia the robot in 2018', 'Ben Goertzel', 'rise conference', 'rise conference 2017', 'rise conference 2017 hong kong', 'rise conference asia']",28,
Ra3fv8gl6NE,Joe Rogan - Elon Musk on Artificial Intelligence,JRE Clips,UCnxGkOGNMqQEUMvroOWps6Q,2018-09-07T05:32:52Z,7393894,20084,Taken from Joe Rogan Experience #1169: https://www.youtube.com/watch?v=ycPr5-27vSI,"['Joe Rogan', 'JRE', 'Joe Rogan Experience', 'JRE Clips', 'PowerfulJRE', 'Joe Rogan Fan Page', 'Joe Rogan Podcast', 'podcast', 'MMA', 'Joe Rogan MMA Show', 'UFC', 'comedy', 'comedian', 'stand up', 'funny', 'clip', 'favorite', 'best of', 'Elon Musk']",22,
Vpf-QKGZg8w,"क्या रोबोट्स इंसानो के लिए खतरा है ? | Artificial Intelligence, Robots - Science of Robotic Era",FactTechz,UCGdPm5Aq081vVD7ih9jZf6Q,2018-10-24T15:28:17Z,5358148,20019,"Artificial Intelligence is the future. In our daily use of technological devices like smartphones and computers, we always experience this technology. But is artificial intelligence a threat for humans?

Checkout our Android App (Ultimate Brain Booster):

https://play.google.com/store/apps/details?id=com.music.ultimatebrainbooster

Follow Us:

https://instagram.com/facttechz
https://facebook.com/facttechz
https://twitter.com/facttechz","['technology', 'science', 'robots', 'artificial intelligence']",27,language
wSEjoYHxlOY,6 Developing Female Robots With Artificial Intelligence Will Be Your Partner or Assistant In Future.,Inventions World,UCHv17LJVVLDWsalk31unY4w,2018-03-14T18:11:18Z,4478491,4681,"6 Developing female Robots with Artificial Intelligence 'll Be your Partner or Assistant At Home Or Work in Future.
 👇👇👇👇 
-----------------------------------------------------------------------
Visit our Jewelry Store: https://priyabee.com
-----------------------------------------------------------------------

XWATCH - A Top Affordable Smartwatch Like Apple Watch-turning heads and making life simple.
XWATCH . To Get 50% Discount & Free Shipping Worldwide 👉 https://bit.ly/Xwatch1
--------------------------------------------------------------------------------------------------------------------
WiFi Ultraboost - Wifi Repeater 300Mbps Signal Extender Booster 
Get Your 50% Discount and Free Shipping Worldwide: https://bit.ly/WiFi-UltraBoost
--------------------------------------------------------------------------------------------------------------------
GX SMARTWATCH - Cheaper But Smart, High Quality & Stylish - Your Watch Should be Just Like You.
GX SMARTWATCH
 https://hypertechx.com/ps/gxsmartwatch/index.php?net=9633&aff={AFFID}&sid={SUBID}&cid={CLICKID}
-------------------------------------------------------------------------------------------------------------------
ORDER HERE FOR 50% DISCOUNT: https://bit.ly/GX-SMARTWATCH
-------------------------------------------------------------------------------------------------------------------
1. Tactic AIR Drone
To Get 50% Discount & Free Shipping Worldwide 👉 https://bit.ly/tacticair-drone

2.  DroneX Pro
To Get 50% Discount & Free Shipping Worldwide 👉 https://bit.ly/dronex_pro1

3. Explore AIR DRONE: 
To Get 50% Discount & Free Shipping Worldwide 👉 https://bit.ly/exploreair-drone

👇👇👇👇
------------------------------------------------------------------------------------------------------------------------------------------------------
Limited Time Offer:
All Hitech Gadgets With 50% Discount & Free Shipping Worldwide : https://bit.ly/HiTechnology
-------------------------------------------------------------------------------------------------------------------------------------------------------

Join Amazon Prime with More Amazing Offers(Free 30 Days Trial) : http://amzn.to/2HjTpKM

----------------------------------------------------------------------------------------

1. Harmony, A Beautiful Lady Robot Can Replace Your Bed Partner.
A beautiful robot
Harmony is unlike any simple doll that you may have seen before. She is a combination of the highest quality doll in the world with 
advanced robotic components, and is powered with the ultimate customizable AI to deliver the most enjoyable conversation and interaction 
you can have with a machine.

Site Link - https://realbotix.com

2. Meet Samantha, Beautiful Female Robot, It's Creators Say Humans Are Already Falling In love With Their Machines.
Samantha is one of the recent ""hyper realistic"" female robot.
Samantha is a project centered on a robot that is capable of enjoying time together. Samantha is the name of the project and architecture. 
The name of the robot itself can be selected and introduced into the Samantha architecture.

For more information visit here : http://www.syntheaamatus.com

3.Meet Emma - World First Talking Artificial Intelligent Humanoid Female Robot By Bride Robot Tech.

http://www.ai-aitech.com/

4. HRP-4C (Miim) is Feminine humanoid Robot Can Sing Walk & Dance So Well.
The HRP-4C, nicknamed Miim, is a feminine-looking humanoid robot created by the National Institute of Advanced Industrial Science 
and Technology (AIST), a Japanese research TEAM.

5. MARK 1 ROBOT MANUAL BOOK
Is She Beautiful Girl Or A Robot? Beautiful Humanoid Robot - Can Be Made Your Life Partner.
I believe it can inspire and let you understand more about life-like humanoid robot development.

http://www.mark1robotic.com

6. Sophia is a social humanoid robot developed by Hong Kong-based company Hanson Robotics. In October 2017, the robot became a Saudi Arabian citizen, the first robot to receive citizenship of any country. While interviewers around the world have been impressed by the sophistication of many of Sophia's responses to their questions, the bulk of Sophia's meaningful statements are believed by experts to be somewhat scripted.","['Harmony49.8', 'harmony robot', 'sex robot', 'ai robot', 'artificial intelligence', 'artificial intelligence robot', 'lady robot', 'human robot', 'personal robot', 'robot', 'smart robots', 'best robots', 'robotics', 'home robots', 'cool robots', 'household robot', 'programming robots', 'humanoid robots', 'advanced robot', 'samantha', 'samantha robot', 'female robot', 'hyper realistic', 'emma', 'hrp-4c', 'miim', 'dancing robot', 'singing robot', 'singer robot', 'japanese robot', 'MARK 1', 'sophia', 'hanson robotics', 'ai', 'robotics technology']",28,"""AI generated"" spam content"
ukzFI9rgwfU,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2024 | Simplilearn,Simplilearn,UCsvqVGtbbyHaMoevxPAq9Fg,2018-09-19T14:57:02Z,4406692,2113,"🔥Professional Certificate Course In AI And Machine Learning by IIT Kanpur (India Only): https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?utm_campaign=23AugustTubebuddyExpPCPAIandML&utm_medium=DescriptionFF&utm_source=youtube
🔥AI Engineer Masters Program (Discount Code - YTBE15): https://www.simplilearn.com/masters-in-artificial-intelligence?utm_campaign=SCE-AIMasters&utm_medium=DescriptionFF&utm_source=youtube
🔥AI & Machine Learning Bootcamp(US Only): https://www.simplilearn.com/ai-machine-learning-bootcamp?utm_campaign=MachineLearningscribe&utm_medium=DescriptionFirstFold&utm_source=youtube
🔥 Purdue Post Graduate Program In AI And Machine Learning: https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?utm_campaign=MachineLearningscribe&utm_medium=DescriptionFirstFold&utm_source=youtube

This Machine Learning basics video will help you understand what Machine Learning is, what are the types of Machine Learning - supervised, unsupervised & reinforcement learning, how Machine Learning works with simple examples, and will also explain how Machine Learning is being used in various industries. Machine learning is a core sub-area of artificial intelligence; it enables computers to get into self-learning mode without being explicitly programmed. When exposed to new data, these computer programs are enabled to learn, grow, change, and develop by themselves. So, the iterative aspect of machine learning is the ability to adapt to new data independently. This is possible as programs learn from previous computations and use “pattern recognition” to produce reliable results.

The below topics are explained in this Machine Learning basics video:
1. What is Machine Learning? ( 00:21 )
2. Types of Machine Learning ( 02:43 )
2. What is Supervised Learning? ( 02:53 )
3. What is Unsupervised Learning? ( 03:46 )
4. What is Reinforcement Learning? ( 04:37 )
5. Machine Learning applications ( 06:25 )

Subscribe to our channel for more Machine Learning Tutorials: https://www.youtube.com/user/Simplilearn?sub_confirmation=1

Download the Machine Learning Career Guide to explore and step into the exciting world of Machine Learning and follow the path toward your dream career- https://bit.ly/3eLuTUo

Watch more videos on Machine Learning: https://www.youtube.com/watch?v=7JhjINPwfYQ&list=PLEiEAq2VkUULYYgj13YHUWmRePqiu8Ddy

#MachineLearning #WhatIsMachineLearning #MachineLearningTutorial #MachineLearningBasics #MachineLearningTutorialForBeginners #Simplilearn

➡️ About Caltech Post Graduate Program In AI And Machine Learning

Designed to boost your career as an AI and ML professional, this program showcases Caltech CTME's excellence and IBM's industry prowess. The artificial intelligence course covers key concepts like Statistics, Data Science with Python, Machine Learning, Deep Learning, NLP, and Reinforcement Learning through an interactive learning model with live sessions.

✅ Key Features

- Simplilearn's JobAssist helps you get noticed by top hiring companies
- PGP AI & ML completion certificate from Caltech CTME
- Masterclasses delivered by distinguished Caltech faculty and IBM experts
- Caltech CTME Circle Membership
- Earn up to 22 CEUs from Caltech CTME
- Online convocation by Caltech CTME Program Director
- IBM certificates for IBM courses
- Access to hackathons and Ask Me Anything sessions from IBM
- 25+ hands-on projects from the likes of Twitter, Mercedes Benz, Uber, and many more
- Seamless access to integrated labs
- Capstone projects in 3 domains
- 8X higher interaction in live online classes by industry experts

✅ Skills Covered

- Statistics
- Python
- Supervised Learning
- Unsupervised Learning
- Recommendation Systems
- NLP
- Neural Networks
- GANs
- Deep Learning
- Reinforcement Learning
- Speech Recognition
- Ensemble Learning
- Computer Vision

👉Learn More at: https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?utm_campaign=MachineLearningscribe&utm_medium=DescriptionFirstFold&utm_source=youtube

🔥🔥 Interested in Attending Live Classes? Call Us: IN - 18002127688 / US - +18445327688","['2022', '2023', 'ML', 'Machine Learning', 'basics of machine learning', 'cloud and machine learning', 'fundamentals of machine learning', 'gcp maching learning', 'getting started with machine learning', 'introduction to machine learning', 'machine learning', 'machine learning basics', 'machine learning for beginners', 'machine learning tutorial for beginners', 'machine learning with gcp', 'simplilearn', 'simplilearn machine learning', 'what is machine learning']",27,
Pls_q2aQzHg,Artificial Intelligence: Mankind's Last Invention,Aperture,UCO5QSoES5yn2Dw7YixDYT5Q,2018-10-05T18:30:00Z,3718335,9951,"Artificial Intelligence: Mankind's Last Invention - Technological Singularity Explained
Part 2: https://www.youtube.com/watch?v=zuXNlTJb_FM
Follow me on Instagram!: https://www.instagram.com/mcewen/

Stay connected: 
Join the community Discord!: https://discord.gg/XjSEXMS
Instagram: https://www.instagram.com/theapertureyt/
Twitter: https://twitter.com/TheApertureYT
Facebook: https://www.facebook.com/ApertureYT/
Patreon: https://www.patreon.com/ApertureYT

Music:
Stellardrone
https://stellardrone.bandcamp.com/
https://soundcloud.com/stellardrone
https://www.facebook.com/stellardrone/

furino:
https://soundcloud.com/furino
https://www.instagram.com/DanielFurino/
https://twitter.com/DanielFurino

kudasai:
https://soundcloud.com/kudasaibeats
https://twitter.com/kudasaibeats

Footage courtesy of:
Dawal97: 
https://www.youtube.com/dawal97
https://www.instagram.com/dawal97/

LifeLive42:
https://www.youtube.com/user/LifeLive42

----------

📖 Some of my favorite books:

Pale Blue Dot: A Vision of the Human Future in Space by Carl Sagan
https://amzn.to/2T7YmAZ

A Universe from Nothing by Lawrence M. Krauss:
https://amzn.to/2GSCKlw

What If?: Serious Scientific Answers to Absurd Hypothetical Questions
https://amzn.to/2tHCsVM

A Brief History of Time by Stephen Hawking:
https://amzn.to/2T87GEE

The Grand Design by Stephen Hawking:
https://amzn.to/2EDJPUu

How to Win Friends & Influence People by Dale Carnegie:
https://amzn.to/2UeOiTg

Crushing It by Gary Vaynerchuk:
https://amzn.to/2H7NlIz

The Intelligent Investor by Benjamin Graham:
https://amzn.to/2UdSNgO","[""Artificial Intelligence: Mankind's Last Invention"", 'aperture', 'ai', 'artificial intelligence', 'technological singularity', 'aperture ai', 'singularity', 'aperture artificial intelligence', 'artificial intelligence robot', 'elon musk', 'google duplex', 'mankinds last invention', 'facial recognition', 'humanitys last invention', 'sam harris', 'alphago', 'alphago zero', 'openai', 'neuralink', 'joe rogan', 'joe rogan elon musk', 'machine learning', 'neural networks', 'superintelligent ai', 'superintelligent', 'joe rogan experience']",24,
#NAME?,The Artificial Intelligence That Deleted A Century,Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,2018-12-06T16:00:00Z,1883817,6064,"In the last week of December, 2028, humanity forgot about more than a century of pop culture. You've probably never thought about it, and never found it strange — but the reason is an artificial intelligence called Earworm.

⏩ is a series of YouTube videos from a future.

WHY WE FORGOT THE 20TH CENTURY

WRITTEN and NARRATED BY: Tom Scott
ANIMATED BY: Jordan Husmann http://jordanhusmann.com


🟥 MORE FROM TOM: https://www.tomscott.com/
(you can find contact details and social links there too)

📰 WEEKLY NEWSLETTER with good stuff from the rest of the internet: https://www.tomscott.com/newsletter/
❓ LATERAL, free weekly podcast: https://lateralcast.com/ https://youtube.com/lateralcast/
➕ TOM SCOTT PLUS: https://youtube.com/tomscottplus
👥 THE TECHNICAL DIFFICULTIES: https://youtube.com/techdif",[],27,
