video_id,video_title,channel_title,channel_id,video_publish_date,view_count,comment_count,video_description,tags,category_id
UwsrzCVZAb8,How Far is Too Far? | The Age of A.I.,YouTube Originals,UCqVDpXKLmKeBU_yyt_QkItQ,2019-12-18T17:00:08Z,62350333,35400,"Can A.I. make music? Can it feel excitement and fear? Is it alive? Will.i.am and Mark Sagar push the limits of what a machine can do. How far is too far, and how much further can we go?

The Age of A.I. is a 8 part documentary series hosted by Robert Downey Jr. covering the ways Artificial Intelligence, Machine Learning and Neural Networks will change the world. 

0:00 What Is AI?
3:03 Baby X
7:24 Object Recognition
9:41 The Future Studios
14:26 Human Collaboration
21:45 A New Hand
27:20 Digital Will Meets Real Will
31:40 Free Will","['ai', 'artificial intelligence', 'machine learning', 'robert downey jr', 'will i am', 'black eyed peas', 'doolittle', 'iron man', 'science', 'google']",24
NR32ULxbjYc,Evolution Of Boston Dynamics Since 2012,noobqoou,UClCwRrbAdA0RMmL20IRdqqw,2019-10-12T10:09:13Z,25117758,15552,"In this video, you can see the evolution of the robots that made Boston Dynamics since 2012

All videos about robots and Boston Dynamics you can watch on their official channel: https://www.youtube.com/user/BostonDynamics/featured
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★","['noobqoou', 'Boston Dynamics', 'BostonDynamics', 'parkour atlas', 'spot boston dynamics', 'handle robot', 'testing robot', 'introdusing spot', 'dynamic robots', 'boston dynamics']",24
5dZ_lvDgevk,In the Age of AI (full documentary) | FRONTLINE,FRONTLINE PBS | Official,UC3ScyryU9Oy9Wse3a8OAmYQ,2019-12-02T19:00:56Z,24484486,20436,"A documentary exploring how artificial intelligence is changing life as we know it — from jobs to privacy to a growing rivalry between the U.S. and China.

FRONTLINE investigates the promise and perils of AI and automation, tracing a new industrial revolution that will reshape and disrupt our world, and allow the emergence of a surveillance society.

This journalism is made possible by viewers like you. Support your local PBS station here: http://www.pbs.org/donate

Love FRONTLINE? Find us on the PBS Video App where there are more than 250 FRONTLINE documentaries available for you to watch any time: https://to.pbs.org/FLVideoApp
 
Subscribe on YouTube: http://bit.ly/1BycsJW

#ArtificialIntelligence #Automation #documentary

Instagram: https://www.instagram.com/frontlinepbs
Twitter: https://twitter.com/frontlinepbs
Facebook: https://www.facebook.com/frontline

FRONTLINE is streaming more than 200 documentaries online, for free, here: http://to.pbs.org/hxRvQP 

Funding for FRONTLINE is provided through the support of PBS viewers and by the Corporation for Public Broadcasting. Major funding for FRONTLINE is provided by the John D. and Catherine T. MacArthur Foundation and the Ford Foundation. Additional funding is provided by the Abrams Foundation, the Park Foundation, The John and Helen Glessner Family Trust, and the FRONTLINE Journalism Fund with major support from Jon and Jo Ann Hagler on behalf of the Jon L. Hagler Foundation.","['artificial intellgience', 'artificial intelligence future', 'advantages of artificial intelligence', 'artificial intelligence documentary', 'artificial intelligence companies', 'machine learning', 'will robots take my job', 'jobs replaced by robots', 'job automation', 'job automation documentary', 'what laws apply to ai', 'automation job loss', 'automation job loss documentary', 'frontline ai documentary', 'frontline artificial intelligence', 'frontline age of ai documentary']",25
s0dMTAQM4cw,Artificial intelligence and algorithms: pros and cons | DW Documentary (AI documentary),DW Documentary,UCW39zufHfsuGgpLviKh297Q,2019-09-26T18:00:05Z,10612549,9603,"Developments in artificial intelligence (AI) are leading to fundamental changes in the way we live. Algorithms can already detect Parkinson's disease and cancer, and control both cars and aircraft. How will AI change our society in the future?

This documentary journeys to the hot spots of AI research in Europe, the USA and China, and looks at the revolutionary developments which are currently taking place. The rapid growth of AI offers many opportunities, but also many dangers. AI can be used to create sound and video recordings which will make it more and more difficult to distinguish between fact and fiction. It will make the world of work more efficient and many professions superfluous. Algorithms can decide whether to grant loans, who is an insurance risk, and how good employees are. But there is a huge problem: humans can no longer comprehend how algorithms arrive at their decisions. And another big problem is AI’s capacity for widespread surveillance. The Chinese city of Rongcheng is already using an AI-supported 'social credit system' to monitor and assess its citizens. Does AI pose a danger to our personal freedoms or democracy? Which decisions can we leave to the algorithms - and which do we want to? And what are AI’s social implications?

A documentary by Tilman Wolff und Ranga Yogeshwar 
#Ranga_Yogeshwar

--------------------------------------------------------------------

DW Documentary gives you knowledge beyond the headlines. Watch high-class documentaries from German broadcasters and international production companies. Meet intriguing people, travel to distant lands, get a look behind the complexities of daily life and build a deeper understanding of current affairs and global events. Subscribe and explore the world around you with DW Documentary.

Subscribe to DW Documentary:
https://www.youtube.com/channel/UCW39zufHfsuGgpLviKh297Q?sub_confirmation=1#

Our other YouTube channels:
DW Documental (in spanish): https://www.youtube.com/dwdocumental
DW Documentary وثائقية دي دبليو: (in arabic): https://www.youtube.com/dwdocarabia

For more documentaries visit also:
http://www.dw.com/en/tv/docfilm/s-3610
Instagram
https://www.instagram.com/dwdocumentary/
Facebook:
https://www.facebook.com/dw.stories

DW netiquette policy: https://p.dw.com/p/MF1G","['Documentary', 'Documentaries', 'documentaries', 'DW documentary', 'DW documentary 2019', 'full documentary', 'documentary 2019', 'DW', 'beyond the news', 'artificial intelligence', 'AI', 'algorithms', 'technological singularity', 'surveillance state', 'autonomous driving', 'future societies', 'Ranga Yogeshwar']",27
f3lUEnMaiAU,Jack Ma and Elon Musk hold debate in Shanghai,New China TV,UCHBDXQDmqnaqIEPdEapEFVQ,2019-08-29T08:08:22Z,5009918,25641,"Alibaba co-founder and executive chairman Jack Ma and Tesla CEO Elon Musk hold a debate in Shanghai over artificial intelligence.
#AI",[],25
JMUxmLyrhSk,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,edureka!,UCkw4JCwteGrDHIsyIIKo4tQ,2019-06-02T08:53:49Z,3604620,888,"🔥 Machine Learning Engineer Masters Program (Use Code ""𝐘𝐎𝐔𝐓𝐔𝐁𝐄𝟐𝟎""): https://www.edureka.co/masters-program/machine-learning-engineer-training 
This Edureka video on ""Artificial Intelligence Full Course"" will provide you with a comprehensive and detailed knowledge of Artificial Intelligence concepts with hands-on examples. The following topics are covered in this Artificial Intelligence Full Course:

00:00 Introduction to Artificial Intelligence Course
02:27 History Of AI
06:45 Demand For AI
08:46 What Is Artificial Intelligence?
09:50 AI Applications
16:49 Types Of AI
20:24 Programming Languages For AI
27:12 Introduction To Machine Learning
28:08 Need For Machine Learning
31:48 What Is Machine Learning?
34:13 Machine Learning Definitions
37:26 Machine Learning Process
49:13 Types Of Machine Learning
49:21 Supervised Learning
52:00 Unsupervised Learning
53:44 Reinforcement Learning
55:29 Supervised vs Unsupervised vs Reinforcement Learning 
58:23 Types Of Problems Solved Using Machine Learning
1:04:49 Supervised Learning Algorithms
1:05:17 Linear Regression
1:11:20 Linear Regression Demo
1:26:36 Logistic Regression
1:35:36 Decision Tree
1:55:18 Random Forest
2:07:31 Naive Bayes
2:14:37 K Nearest Neighbour (KNN)
2:20:31 Support Vector Machine (SVM)
2:26:40 Demo (Classification Algorithms)
2:42:36 Unsupervised Learning Algorithms
2:42:45 K-means Clustering
2:50:49 Demo (Unsupervised Learning)
2:56:40 Reinforcement Learning
3:24:36 Demo (Reinforcement Learning)
3:31:41 AI vs Machine Learning vs Deep Learning
3:33:08 Limitations Of Machine Learning
3:36:32 Introduction To Deep Learning
3:38:36 How Deep Learning Works?
3:40:48 What Is Deep Learning?
3:41:50 Deep Learning Use Case
3:43:14 Single Layer Perceptron
3:50:56 Multi Layer Perceptron (ANN)
3:52:55 Backpropagation 
3:54:39 Training A Neural Network
4:01:02 Limitations Of Feed Forward Network
4:03:18 Recurrent Neural Networks
4:05:36 Convolutional Neural Networks
4:09:00 Demo (Deep Learning)
4:29:02 Natural Language Processing
4:30:53 What Is Text Mining?
4:32:43 What Is NLP?
4:33:26 Applications Of NLP
4:35:53 Terminologies In NLP
4:41:19 NLP Demo
4:47:21 Machine Learning Masters Program

🔴 𝐋𝐞𝐚𝐫𝐧 𝐓𝐫𝐞𝐧𝐝𝐢𝐧𝐠 𝐓𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐢𝐞𝐬 𝐅𝐨𝐫 𝐅𝐫𝐞𝐞! 𝐒𝐮𝐛𝐬𝐜𝐫𝐢𝐛𝐞 𝐭𝐨 𝐄𝐝𝐮𝐫𝐞𝐤𝐚 𝐘𝐨𝐮𝐓𝐮𝐛𝐞 𝐂𝐡𝐚𝐧𝐧𝐞𝐥: https://edrk.in/DKQQ4Py

Python Full Course: https://www.youtube.com/watch?v=WGJJIrtnfpk
Statistics and Probability Tutorial: https://www.youtube.com/watch?v=XcLO4f1i4Yo

🔴 𝐄𝐝𝐮𝐫𝐞𝐤𝐚 𝐏𝐲𝐭𝐡𝐨𝐧 𝐓𝐫𝐚𝐢𝐧𝐢𝐧𝐠𝐬

🔵 Python Programming Certification: http://bit.ly/37rEsnA
🔵 Python Certification Training for Data Science: http://bit.ly/2Gj6fux

🔴. 𝐄𝐝𝐮𝐫𝐞𝐤𝐚 𝐌𝐚𝐬𝐭𝐞𝐫𝐬 𝐏𝐫𝐨𝐠𝐫𝐚𝐦

🔵 Data Scientist Masters Program: http://bit.ly/2t1snGM
🔵 Machine Learning Engineer Masters Program: https://bit.ly/3Hi1sXN

🔴 𝐄𝐝𝐮𝐫𝐞𝐤𝐚 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐲 𝐏𝐫𝐨𝐠𝐫𝐚𝐦

🔵 Advanced Certificate Program in Data Science with E&ICT Academy, IIT Guwahati: http://bit.ly/3V7ffrh

🔵 University of Cambridge Online Certifications: https://bit.ly/3RSNTXi

📢📢 𝐓𝐨𝐩 𝟏𝟎 𝐓𝐫𝐞𝐧𝐝𝐢𝐧𝐠 𝐓𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐢𝐞𝐬 𝐭𝐨 𝐋𝐞𝐚𝐫𝐧 𝐢𝐧 𝟐𝟎𝟐𝟒 𝐒𝐞𝐫𝐢𝐞𝐬 📢📢
⏩ NEW Top 10 Technologies To Learn In 2024 - https://www.youtube.com/watch?v=vaLXPv0ewHU

Check out the entire Machine Learning Playlist: https://bit.ly/2NG9tK4
Check out the entire Machine Learning Blog list: https://bit.ly/2V2MnDW
 
#edureka #artificialIntelligence #artificialIntelligenceTutorial #artificialIntelligenceFullCourse #artificialIntelligenceEngineer

📌𝐓𝐞𝐥𝐞𝐠𝐫𝐚𝐦: https://t.me/edurekaupdates
📌𝐓𝐰𝐢𝐭𝐭𝐞𝐫: https://twitter.com/edurekain
📌𝐋𝐢𝐧𝐤𝐞𝐝𝐈𝐧: https://www.linkedin.com/company/edureka
📌𝐈𝐧𝐬𝐭𝐚𝐠𝐫𝐚𝐦: https://www.instagram.com/edureka_learning/
📌𝐅𝐚𝐜𝐞𝐛𝐨𝐨𝐤: https://www.facebook.com/edurekaIN/
📌𝐒𝐥𝐢𝐝𝐞𝐒𝐡𝐚𝐫𝐞: https://www.slideshare.net/EdurekaIN
📌𝐂𝐚𝐬𝐭𝐛𝐨𝐱: https://castbox.fm/networks/505?country=IN
📌𝐌𝐞𝐞𝐭𝐮𝐩: https://www.meetup.com/edureka/
📌𝐂𝐨𝐦𝐦𝐮𝐧𝐢𝐭𝐲: https://www.edureka.co/community/

-------------------------------------   
 
About the Masters Program

Edureka’s Machine Learning Engineer Masters Program makes you proficient in techniques like Supervised Learning, Unsupervised Learning and Natural Language Processing. It includes training on the latest advancements and technical approaches in Artificial Intelligence & Machine Learning such as Deep Learning, Graphical Models and Reinforcement Learning.

The Master's Program Covers Topics LIke:
Python Programming
PySpark
HDFS
Spark SQL
Machine Learning Techniques and Artificial Intelligence Types
Tokenization
Named Entity Recognition
Lemmatization
Supervised Algorithms
Unsupervised Algorithms
Tensor Flow
Deep learning
Keras
Neural Networks
Bayesian and Markov’s Models
Inference
Decision Making
Bandit Algorithms
Bellman Equation
Policy Gradient Methods.

-------------

Please write back to us at sales@edureka.in or call us at IND: 9606058406 / US: +18338555775 (toll-free) for more information","['yt:cc=on', 'Artificial Intelligence Full Course', 'artificial intelligence', 'Artificial Intelligence Tutorial for Beginners', 'Artificial Intelligence Tutorial', 'Artificial Intelligence course', 'artificial intelligence crash course', 'artificial intelligence course for beginners', 'artificial intelligence training', 'edureka', 'what is artificial intelligence', 'artificial intelligence edureka', 'artificial intelligence for beginners', 'ai tutorial', 'Ai tutorial for beginners']",27
JMLsHI8aV0g,How China Is Using Artificial Intelligence in Classrooms | WSJ,The Wall Street Journal,UCK7tptUDHh-RYDsdxO1-5QQ,2019-10-01T17:20:56Z,3389458,12090,"A growing number of classrooms in China are equipped with artificial-intelligence cameras and brain-wave trackers. While many parents and teachers see them as tools to improve grades, they’ve become some children’s worst nightmare. 

Video: Crystal Tai

More from the Wall Street Journal: 
Visit WSJ.com: http://www.wsj.com
Visit the WSJ Video Center: https://wsj.com/video

On Facebook: https://www.facebook.com/pg/wsj/videos/
On Twitter: https://twitter.com/WSJ
On Snapchat: https://on.wsj.com/2ratjSM 

#WSJ #ArtificialIntelligence #China","['SURVEILLANCE', 'MONITORING', 'GLOBAL LEADER', 'BRAINWAVE TRACKERS', 'BRAINWAVE SENSING', 'ATTENTION LEVEL', 'ALGORITHMS', 'SMART CAMPUS', 'NEUROSCIENCE', 'NEUROSCIENTIST', 'wsj', 'the wall street journal', 'china', 'chinese school', 'artificial intelligence', 'AI', 'china AI', 'china moitoring', 'school monitoring', 'privacy', 'chian education', 'education', 'documentary', 'tech', 'technology', 'machine learning', 'brain', 'cool gadgets', 'science', 'Ai monitoring', 'surveillance', 'school testing', 'china testing', 'china ai', 'ai', 'chinese classrooms', 'techy']",25
dUFV76tce40,বিশ্বের সবচেয়ে স্মার্ট ও বুদ্ধিমান ১০ রোবট | Top 10 Artificial Intelligence Robot,Science BD,UCbeN7O9VbmflcCbGzjGDbEw,2019-06-26T11:00:53Z,3214208,829,"For copyright matters please contact us at:-mehadihasan2894@gmail.com

5minScience►https://www.youtube.com/channel/UCOtsYU6hYHJyx-xP4d2FX7Q

(AI) Artificial intelligence is arguably the most exciting field in robotics. It's certainly the most controversial: Everybody agrees that a robot can work in an assembly line, but there's no consensus on whether a robot can ever be intelligent.

**** FAIR-USE COPYRIGHT DISCLAIMER ****

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, commenting, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use.
_________________________________________________

#ScienceBD","['Top 10 Artificial Intelligence Robot', 'Artificial Intelligence Robot', 'বিশ্বের সবচেয়ে স্মার্ট ও বুদ্ধিমান ১০ রোবট', 'বুদ্ধিমান ১০ রোবট', 'Top 10', 'Science BD']",27
k2P_pHQDlp0,AI VS ML VS DL VS Data Science,Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig,2019-11-26T14:40:58Z,2804451,1731,"Please do subscribe my vlogging channel for motivational videos
https://www.youtube.com/channel/UCjWY5hREA6FFYrthD0rZNIw

Visit https://krishnaik.in for data science vlogs
Please join as a member in my channel to get additional benefits like materials in Data Science, live streaming for Members and many more 
https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig/join

Please do subscribe my other channel too
https://www.youtube.com/channel/UCjWY5hREA6FFYrthD0rZNIw

------------------------------------------------------------------------------------------------------------------------------------------
►Data Science Projects: 
https://www.youtube.com/watch?v=S_F_c9e2bz4&list=PLZoTAELRMXVPS-dOaVbAux22vzqdgoGhG&pp=iAQB

►Learn In One Tutorials

Statistics in 6 hours: https://www.youtube.com/watch?v=LZzq1zSL1bs&t=9522s&pp=ygUVa3Jpc2ggbmFpayBzdGF0aXN0aWNz

Machine Learning In 6 Hours: https://www.youtube.com/watch?v=JxgmHe2NyeY&t=4733s&pp=ygUba3Jpc2ggbmFpayBtYWNoaW5lIGxlYXJuaW5n

Deep Learning 5 hours : https://www.youtube.com/watch?v=d2kxUVwWWwU&t=1210s&pp=ygUYa3Jpc2ggbmFpayBkZWVwIGxlYXJuaW5n


►Learn In a Week Playlist

Statistics:https://www.youtube.com/watch?v=11unm2hmvOQ&list=PLZoTAELRMXVMgtxAboeAx-D9qbnY94Yay

Machine Learning : https://www.youtube.com/watch?v=z8sxaUw_f-M&list=PLZoTAELRMXVPjaAzURB77Kz0YXxj65tYz

Deep Learning:https://www.youtube.com/watch?v=8arGWdq_KL0&list=PLZoTAELRMXVPiyueAqA_eQnsycC_DSBns

NLP : https://www.youtube.com/watch?v=w3coRFpyddQ&list=PLZoTAELRMXVNNrHSKv36Lr3_156yCo6Nn

►Detailed Playlist:

Stats For Data Science In Hindi : https://www.youtube.com/watch?v=7y3XckjaVOw&list=PLTDARY42LDV6YHSRo669_uDDGmUEmQnDJ&pp=gAQB

Machine Learning In English : https://www.youtube.com/watch?v=bPrmA1SEN2k&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe

Machine Learning In Hindi : https://www.youtube.com/watch?v=7uwa9aPbBRU&list=PLTDARY42LDV7WGmlzZtY-w9pemyPrKNUZ&pp=gAQB

Complete Deep Learning: https://www.youtube.com/watch?v=YFNKnUhm_-s&list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi","['Artificial Intelligence', 'Machine Learning', 'Deep Learning', 'Data Science']",27
smK9dgdTl40,"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot | Lex Fridman Podcast #49",Lex Fridman,UCSHZKyawb77ixDdsGog4iWA,2019-11-12T17:35:22Z,2382329,5253,,[],28
